"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NOx as NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NOx_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Aircraft_in_25,Aircraft_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,Point_Sources_25,Rural_25
E08000025,415500,292500,6,2,18.19269,0,1.298297,0,0.059899,0.91201,1.061753,0.569517,2.073526,0.008571,2.352935,0.19698,1.632107,0,0.192646,0.00524,0.624205,0.735936,1.708032,1.18296,3.578074
E08000025,416500,292500,6,35,16.91302,0,1.424566,0,0.063619,0.377157,1.014434,0.444123,1.829626,0.191996,2.160492,0.015432,1.432211,0,0.233162,0,0.676516,0.783665,1.603206,1.084745,3.578074
E08000025,417500,292500,6,35,15.30682,0,1.953567,0,0.064898,0.279032,0.908096,0.105674,1.581827,0.020329,2.029736,0.060201,1.158221,0,0.217882,0,0.674657,0.224888,1.397386,1.052346,3.578074
E08000025,403500,291500,6,35,17.3055,0,1.750792,0,0.036037,0,1.539708,0.044873,2.362254,0.01725,2.854043,0.01679,1.903295,0,0.043339,0,0.378552,0.012482,2.240124,1.177518,2.928439
E08000025,404500,291500,6,2,18.14693,0,1.371869,0,0.040396,0,1.476091,0.897671,2.493752,0.007171,2.824133,0.295766,2.003055,0,0.045734,0,0.39472,0.022726,2.104331,1.241078,2.928439
E08000025,405500,291500,6,2,18.61294,0,1.34872,0,0.042574,0,1.495784,0.514123,2.728131,0.006561,2.830169,0.166913,2.164906,0,0.048217,0.101449,0.410316,0.027475,2.080341,1.202834,3.444429
E08000025,406500,291500,6,2,20.74601,0,1.546583,0,0.044285,0.774676,1.707353,0.499274,2.756086,0.004344,2.918068,0.42465,2.24017,0,0.050792,0.044212,0.431762,0.468242,2.081259,1.309828,3.444429
E08000025,407500,291500,6,2,25.01917,1.04859,1.773332,0,0.04616,0.525453,1.774761,0.561122,2.787559,0.487001,2.931472,0.376502,2.314825,0,0.053235,0,0.452466,1.171357,2.152508,3.118397,3.444429
E08000025,408500,291500,6,2,25.03001,3.756121,1.775129,0,0.046185,0.443031,1.608467,0.626325,2.789761,0.008539,3.068325,0.25049,2.279105,0,0.054995,0,0.479301,0.418935,2.491345,1.489524,3.444429
E08000025,409500,291500,6,2,21.90852,0,2.725588,0,0.047539,0.368651,1.561797,0.910483,2.758283,0.005203,3.091764,0.514078,2.216239,0,0.055868,0,0.513348,0.031816,2.267074,1.396361,3.444429
E08000025,410500,291500,6,2,22.09586,0,2.004076,0,0.048909,1.068918,1.545376,1.023916,2.77256,0.026442,3.093656,0.608042,2.233663,0,0.057642,0.027364,0.545693,0.036162,2.035538,1.455357,3.512542
E08000025,411500,291500,6,2,20.241,0,1.582256,0,0.050277,0.071609,1.706363,0.864325,2.731364,0.005427,2.92632,0.420674,2.251263,0,0.064966,0,0.581339,0.031135,1.990945,1.450204,3.512542
E08000025,412500,291500,6,2,20.73613,0,1.526883,0,0.051721,0.07854,1.580333,1.020478,2.603662,0.005046,3.084304,0.529644,2.165554,0,0.083916,0,0.643772,0.107318,2.175913,1.566505,3.512542
E08000025,413500,291500,6,2,26.02065,0,1.672448,0,0.053399,1.396404,1.462893,0.778702,2.531767,2.776831,2.508359,0.300144,2.706025,0,0.120348,0,0.733047,1.367209,2.374317,1.726221,3.512542
E08000025,414500,291500,6,2,21.08213,0,1.797398,0,0.05542,0.305615,1.448388,1.051287,2.379516,0.005507,2.862362,0.383572,2.27861,0,0.177466,0,0.789623,0.208838,2.326986,1.498996,3.512542
E08000025,415500,291500,6,2,18.47882,0,1.930235,0,0.054864,0,1.180006,0.374935,2.229408,0.218655,2.335016,0.189765,1.736625,0,0.210938,0.23205,0.748668,0.410002,1.7729,1.276679,3.578074
E08000025,416500,291500,6,2,17.40698,0,2.073271,0,0.058207,0,1.005514,0.15242,2.003192,0.007138,2.132342,0.009042,1.489841,0,0.265947,0.666006,0.648704,0.62592,1.528983,1.16238,3.578074
E08000025,417500,291500,6,35,16.38668,0,2.595769,0,0.058588,0,0.895824,0.207698,1.685087,0.013365,2.023497,0.142485,1.206857,0,0.254299,0.611303,0.642412,0.005332,1.359385,1.106704,3.578074
E08000025,403500,290500,6,2,19.76628,0,1.311072,0,0.028887,1.139534,1.468393,0.658753,2.488652,0.006012,2.975955,0.287513,2.037611,0,0.045012,0,0.429759,0.085532,2.537553,1.337602,2.928439
E08000025,404500,290500,6,2,19.5572,0,1.161406,0,0.033089,0.461669,1.563393,0.860624,2.646409,0.249754,2.880353,0.469629,2.17606,0,0.04806,0,0.431022,0.062232,2.226276,1.358791,2.928439
E08000025,405500,290500,6,2,19.80811,0,1.150631,0,0.035335,0.293681,1.628122,0.975743,2.782749,0.005272,2.879697,0.33579,2.348441,0,0.051255,0.04996,0.44584,0.022714,2.118729,1.239718,3.444429
E08000025,406500,290500,6,2,22.37612,0,1.25112,0,0.037155,2.183123,1.626685,0.851128,2.938395,0.004976,2.941285,0.479671,2.465898,0,0.054599,0.03531,0.458509,0.032425,2.185629,1.385783,3.444429
E08000025,407500,290500,6,2,22.10873,0,1.667472,0,0.0392,0.400155,1.954082,0.992429,2.945403,0.004007,3.04732,0.48426,2.50846,0,0.058102,0.081431,0.474365,0.142535,2.382427,1.482661,3.444429
E08000025,408500,290500,6,2,25.78593,1.525473,2.181275,0,0.039858,0.177045,1.79918,0.680626,2.946833,1.161118,3.015768,0.207196,2.448358,0,0.061535,0.062095,0.541854,1.715044,2.377905,1.400342,3.444429
E08000025,409500,290500,6,2,28.88964,6.789684,1.762161,0,0.041407,0.536951,1.707953,0.451906,2.903565,0.00426,3.469597,0.229288,2.448316,0,0.064181,0.026181,0.637534,0.217853,2.641296,1.513078,3.444429
E08000025,410500,290500,6,2,23.90614,0,2.556828,0,0.042989,1.135596,1.65068,0.782949,2.754106,0.005728,3.455129,0.421369,2.392961,0,0.065755,0.008722,0.738161,0.340359,2.32802,1.714247,3.512542
E08000025,411500,290500,6,2,23.05523,0,1.987014,0,0.044573,1.193886,1.621862,0.74827,2.683899,0.00333,3.10916,0.424907,2.3107510000000002,0,0.069276,0,0.800383,0.786979,2.094596,1.663793,3.512542
E08000025,412500,290500,6,2,27.37122,0.865305,1.838366,0,0.046164,0.843147,1.571718,0.706769,2.632066,1.936223,2.774288,0.244236,2.424929,0,0.082902,0.304725,0.76540300000000006,1.583438,2.090912,3.148094,3.512542
E08000025,413500,290500,6,2,33.35876,2.613465,1.588806,0,0.047804,1.839497,1.421743,0.558273,2.602441,0.002355,2.892601,4.409437,1.892916,0,0.117442,0.68492,0.701232,3.207737,2.004912,3.260631,3.512542
E08000025,414500,290500,6,2,23.80448,2.752084,1.694724,0,0.0495,0.439461,1.392108,0.548222,2.545237,0.008942,2.460443,0.178338,2.538915,0,0.182121,0.685086,0.70998000000000006,0.286857,2.285897,1.534023,3.512542
E08000025,403500,289500,6,2,23.31038,0,1.118797,0,0.015779,0.23193,1.584372,0.976753,2.626904,1.051833,2.841,0.381865,2.149611,0,0.04598,0.138534,0.500415,1.095897,2.592441,2.973704,2.984563
E08000025,404500,289500,6,2,20.6373,0,1.067235,0,0.02039,0.619964,1.541327,0.879272,2.758965,0.300461,2.850341,0.728405,2.331211,0,0.049617,0.046678,0.513353,0.104164,2.469927,1.371427,2.984563
E08000025,405500,289500,6,2,20.67616,0,1.077939,0,0.022878,0.256696,1.723844,1.19959,2.878298,0.0139,2.855406,0.595843,2.517398,0,0.053636,0.029102,0.507079,0.062345,2.268262,1.300336,3.313614
E08000025,406500,289500,6,2,22.71895,0,1.183567,0,0.024812,0.777686,1.850407,1.626746,2.997529,0.005676,3.063458,0.674266,2.667989,0,0.057972,0,0.503895,0.021227,2.40374,1.54637,3.313614
E08000025,407500,289500,6,2,24.09881,0.710915,1.51409,0,0.026972,0.424025,2.126804,1.318654,3.09591,0.005499,3.317248,0.462807,2.835162,0,0.062599,0,0.539551,0.025669,2.704707,1.614579,3.313614
E08000025,408500,289500,6,2,26.77002,1.786068,1.762022,0,0.028212,0.829263,1.899701,1.224344,3.03618,0.516726,3.334549,0.243268,2.715877,0,0.067564,0.09062,0.63425,1.019903,2.758379,1.509485,3.313614
E08000025,409500,289500,6,2,27.76151,0.779655,2.200776,0,0.029916,0.626515,1.767506,1.034113,2.932124,0.872729,4.090582,0.903457,2.460718,0,0.072641,0.235006,0.827515,0.965698,2.655001,1.993948,3.313614
